,Sentence,Entity1,Entity2,relation
1256,"In 2002 , the Missouri State Ethics Commission fined Roy Blunt 's political action committee , Rely on Your Beliefs Fund , $ 3,000 for belatedly filing state paperwork related to its contributions to one of Matt Blunt 's campaigns .",Ethics Commission,Roy,fined
1257,"Israel has also said it has allowed in needed gasoline and diesel fuel , medicine and foodstuffs , and Prime Minister Ehud Olmert noted Monday that Israel was still supplying Gaza with water and electricity because '' we do n't want to punish the civilian population . ''",Ehud Olmert,Monday,noted
1258,He gamely offers his one comparable cultural reference : Reykjavik was where Bobby Fischer defeated Boris Spassky in 1972 in what he explains was '' the greatest chess match ever . '' '',Bobby Fischer,Boris,defeated
1259,"The other Americans -- Chris Horner and Fred Rodriguez -- are support riders for Davitamon , with Horner assisting Cadel Evans , a contender from Australia , in the mountains and Rodriguez leading out Robbie McEwen , another Australian , in sprints .",Horner,Cadel,assisting
1260,"RecycleBank persuaded Philadelphia officials to allow it to conduct a pilot project involving 2,500 households in two Philadelphia neighborhoods , upscale Chestnut Hill and modest West Oak Lane .",RecycleBank,Philadelphia,persuaded
1261,"A1 City Sends Help to Queens New York City leaders went to Astoria , Queens , to announce an all-hands effort to help areas suffering power failures for the fourth day .",A1 City,Help,Sends
1262,"PAGE C1 Eagles Say Enough Is Enough Philadelphia said Terrell Owens , its star wide receiver , would no longer play on the team , citing an accumulation of conflicts , most notably with quarterback Donovan McNabb .",Enough Philadelphia,Terrell,said
1263,The freshman forward Shawne Williams led Memphis with 26 points .,Shawne Williams,Memphis,led
1264,"While Ms. Stephenson tours Galapagos and Bali , Mr. Connolly divides the time he is not on tour between their estate in Aberdeenshire , Scotland ; the house in Malta ; and the yacht , wherever it happens to be .",Ms. Stephenson,Galapagos,tours
1265,"BIG EAST\/PITTSBURGH -- West Virginia routed Marshall , 42-10 ; Rutgers held on to win at North Carolina , 21-16 ; and Louisville rolled against Kentucky , 59-28 .",West Virginia,Marshall,routed
1266,"With Scott Rolen already on the disabled list , St. Louis sat Jim Edmonds on Friday and Larry Walker on Saturday and gave Albert Pujols his first rest yesterday .",St. Louis,Jim,sat
1267,"He admitted he was overaggressive , but he had to be because the only other hitter the Atlanta aces John Smoltz , Greg Maddux and Tom Glavine had to worry about was Jeff Bagwell , who also had his aggressiveness used against him .",Atlanta,John,aces
1268,"In the days since William F. Weld left Decker College here to focus on a race for governor of New York , the commercial trade school has been raided by federal agents , declared bankruptcy and left hundreds of students marooned without classes .",F. Weld,Decker,left
1269,Several former American intelligence officials have said that the C.I.A. operatives who took part in the abduction of the Egyptian left Italy long ago and that the agency 's station chief in Rome at the time is now stationed elsewhere .,Egyptian,Italy,left
1270,"It was the second big appointment for the travel unit in nearly a month ; in March , Cendant named Gordon M. Bethune , the former chairman of Continental Airlines , as chairman of the division .",Cendant,Gordon,named
1271,"Citing steps China has taken as part of its five-year economic plan , Mr. Hu said Beijing would seek to stimulate more consumer-led growth , in part by improving the social safety net so that consumers felt comfortable spending money rather than saving it at record high levels for health , education and retirement . ''",Mr. Hu,Beijing,said
1272,"Mr. Fields represented Brad Grey , the former talent manager and current chairman of Paramount Pictures , in litigation against Mr. Shandling and also against Bo Zenga , a screenwriter .",Mr. Fields,Brad,represented
1273,"If the Old City evokes Yemen 's prosperous , cosmopolitan days at the center of the world 's spice trade , the Martyrs ' Mosque , an imposing , ash-colored monolith , speaks to its present as the poorest and most primitive of the Arabian Peninsula states .",Old City,Yemen,evokes
1274,"The boards of Nissan and Renault voted Monday to explore a historic three-way alliance with General Motors , putting pressure on the embattled automotive giant to decide whether it wants two foreign companies , and their charismatic chief executive , Carlos Ghosn , to play a role in its revamping .",Renault,Monday,voted
1275,"While Prince Saud blamed Israel for starting a nuclear arms race in the Middle East , his implication that a nuclear-weapons-free Gulf might precede a regionwide nuclear-weapons-free zone is a nuanced departure from longstanding Arab insistence that regional arms control can not begin without Israel 's denuclearization .",Prince Saud,Israel,blamed
1276,"The young Wechsberg earned a Czech law degree but also spent time in Paris living la vie boheme , playing violin in Montmartre dives , at the Folies-Berg ere and eventually on French cruise ships .",Paris,la,living
1277,"Curt Schilling of the Boston Red Sox endorsed President Bush for re-election in 2004 , an autumn in which the Sox won the Series ; his Red Sox bosses endorsed Senator John Kerry of Massachusetts , the Democratic challenger .",Red Sox,President,endorsed
1278,Mr. Jumblatt urged President Bashar al-Assad of Syria to cooperate fully with the investigation .,Mr. Jumblatt,President,urged
1279,"The governing body of the Church of England voted Monday evening to divest from any corporations that it contends support Israel 's activities in Gaza and the West Bank , a move sharply criticized by Jewish groups in Britain and the United States .",England,Monday,voted
1280,"Last week , United States Marines landed in Beirut for the first time in 20 years to evacuate Americans as Israel bombed Lebanon in an attempt to defeat Hezbollah .",Israel,Lebanon,bombed
1281,"A3 Rocket Hits Deep Into Israel Defying Israel 's military advances into Gaza to help free a captured Israeli soldier , Palestinian militants in Gaza lobbed a rocket deep into Israel , further infuriating the prime minister , Ehud Olmert , above , who called it '' an escalation of unprecedented gravity . ''",Israel,Israel,Defying
1282,"In strikingly strong language , President Hamid Karzai warned Tuesday that a failure to bring peace to Afghanistan would destroy the whole region , and laid the blame squarely on neighboring Pakistan .",Hamid Karzai,Tuesday,warned
1283,"A6 China Sets African Trade Deals China and a number of African nations agreed on 16 trade and investment deals valued at $ 1.9 billion , as Beijing extended its efforts to create a broad economic and diplomatic partnership with Africa .",China,African,Sets
1284,"After he was beaten by Alejandro Valverde of Spain , who rides for the Illes Balears team , Armstrong clutched Valverde 's hand in a gesture of respect .",Armstrong,Valverde,clutched
1285,A senior law enforcement official in Brussels said Belgium was on high alert . '',Brussels,Belgium,said
1286,Odelin plunked Hitoshi Tamura in the elbow with his fourth pitch to force in Japan 's first run .,Odelin,Hitoshi,plunked
1287,"Until now , '' When the Saints Go Marchin ' In '' fit the franchise ever since it joined the National Football League in 1967 , but in the days since Hurricane Katrina smashed the levees , maybe you 've heard Louis Armstrong 's wonderfully sad and scratchy voice singing , '' Do you know what it means to miss New Orleans ? ''",ve,Louis,heard
1288,"An aide to Mr. Sadr said Mr. Bahadli was an important member of the cleric 's office in Sadr City , the poor Baghdad neighborhood from which Mr. Sadr draws tremendous support .",Mr. Sadr,Mr.,said
1289,"Of Gainesville , Florida died Friday morning at his home .",Florida,Friday,died
1290,"Dr. Piot said Cambodia and four states in India -LRB- Andhra Pradesh , Karnataka , Maharashtra and Tamil Nadu -RRB- showed a drop in new infections , joining Thailand 's earlier success .",Dr. Piot,Cambodia,said
1291,The surveillance case came to light Sunday after a woman in Selden told Suffolk County detectives that she discovered a computer hard drive containing images of her family using the bathroom .,Selden,Suffolk,told
1292,PAGE A14 Official Confirms Bush Declassified Iraq Report A senior administration official confirmed for the first time that President Bush ordered the declassification of parts of a prewar intelligence report on Iraq in an effort to rebut critics who said the administration had exaggerated the nuclear threat posed by Saddam Hussein .,A14 Official,Bush,Confirms
1293,A reporter in Baghdad asked Rummy about the kerfuffle when Condi talked of '' thousands '' of tactical errors in Iraq .,Baghdad,Rummy,asked
1294,"A 2005 state epidemiology report showed that despite a slight decrease from previous years , Rio Arriba County led New Mexico with a staggering drug overdose rate of 43.9 deaths per 100,000 people , nearly three times the state average of 14.9 and well above the national average of 5.7 , last reported in 2002 .",Arriba County,New,led
1295,President Jacques Chirac of France said Tuesday that Europe remained steadfast in its desire to end the ban .,France,Tuesday,said
1296,Almost all of the 45 nations that spoke during a daylong debate on the Middle East on Thursday condemned Israel .,Thursday,Israel,condemned
1297,"BERLIN , JULY 8 -- We watch on the tube as Germany defeats Portugal for third place in Stuttgart and fans wave the national flag , as they have learned to do in the past month .",Germany,Portugal,defeats
1298,"A court on Thursday blocked Bogazici University in Istanbul from holding the event , a debate and symposium on the killing of Armenians by Ottoman forces in the eastern part of what is now Turkey .",Thursday,Bogazici,blocked
1299,With the Census Bureau classifying Connecticut as a '' destination '' state for immigrants -- they will spend $ 3 billion in the state this year and send $ 300 million home -- Mr. Paniagua acknowledges that day laborer issues will require solutions brokered in Hartford and Washington .,Census Bureau,Connecticut,classifying
